release_date,judul,sinopsis,genre,kata_kunci,rate,tahun
1985-01-01,Putri Duyung,"Tintus, seorang pelaut yang bekerja di anjungan minyak lepas pantai, melihat seorang putri duyung cantik di tengah laut. Dia menceritakan hal itu kepada temannya, Tigor, yang mengira Tintus hanya sedang melamun tentang pacarnya. Setelah sampai di darat, kenyataan pahit menantinya.","Fantasy, Drama, Romance", ,5.8,1985
,Taufiq: Lelaki Yang Menantang Badai,"Kisah Taufiq Kiemas muda. Terinspirasi oleh ideologi Soekarno, ia memutuskan untuk menjadi seorang nasionalis.",Drama, ,9.3,
2012-07-05,Jenderal Kancil: The Movie,"Sekolah Dasar Lentera Hati pernah mengalami teror dari geng Mafia Italia, yang mengincar sesuatu yang tersembunyi di belakang Sekolah Dasar Lentera Hati. Guntur bahu-membahu menghadapi masalah ini dengan kecerdasan dan kebijaksanaan.",Drama, ,5,2012
2020-03-04,Nasi Padang,Seorang pembuat film dari Norwegia menjadi fenomena internet dan selebriti nasional di Indonesia setelah membuat lagu cinta untuk masakan tradisional nasi padang.,"Documentary, Music", ,8.1,2020
1989-02-13,SI ROY, ,"Drama, Romance", ,8.8,1989
2021-08-10,Serigala Langit,"Gadhing Baskara adalah pilot tempur baru di Skuadron Serigala Langit. Karena selama ini ia selalu menjadi yang terbaik dalam akademi dan sekolah penerbangan, ia merasa akan dengan mudah menjadi yang terbaik di Skuadron Serigala Langit. Kepercayaan diri yang berlebihan ini membuatnya arogan sehingga pilot senior tidak menyukainya.","Action, Drama", ,7.7,2021
2016-08-27,Sebelum Pagi Datang,Seorang pekerja seks komersial dan seorang penyapu jalan bertemu suatu malam dan berbincang-bincang yang membawa kebaikan bagi mereka.,Drama, ,8.9,2016
2008-12-31,Saus Kacang,"Dewi, seorang Chef de Cuisine di hotel bintang lima di Bali, telah berkali-kali kurang beruntung dalam percintaan. Fredo, seorang turis Malaysia, mudah marah dan menghina karyawan hotel. Bagi Dewi yang percaya bahwa ""tidak ada tamu yang tidak bisa dihadapi"", Fredo menjadi tantangan. Namun, selama perayaan Nyepi (Hari Raya sebelum Tahun Baru Bali) ketika mereka seharusnya berada di dalam ruangan, Dewi dan Fredo malah tertangkap basah berada di luar. Akibatnya, mereka mendapat hukuman membersihkan sebuah pura selama beberapa hari. Waktu bersama mereka menjadi penemuan pribadi bahwa mereka memiliki pengalaman buruk yang sama dalam percintaan. Mereka menjadi lebih dekat dan lebih ceria saat menjalani hukuman tersebut. Ketika mereka akhirnya siap untuk memulai hidup baru, mantan istri Fredo, Mae, datang ke Bali dan menawarkan cintanya lagi. Fredo dihadapkan pada dilema, sementara Dewi bertanya-tanya apakah kegagalannya dalam percintaan akan terulang kembali.",Drama, ,5.4,2008
2017-03-23,Mooncake Story,"Setelah pertemuan tak terduga antara seorang janda dan seorang pengusaha muda yang mengidap Alzheimer, persahabatan di antara keduanya berkembang setelah permintaan sang pria untuk membuat kue bulan tradisional.","Drama, Romance", ,6.6,2017
2015-06-08,Legend of Didao, ,History, ,4.9,2015
2019-12-09,Mudik,"Aida dan Firman memutuskan untuk pergi ke kampung halaman mereka dan mencoba memperbaiki keretakan yang semakin membesar di antara mereka. Di tengah perjalanan, mereka terlibat dalam sebuah kecelakaan. Peristiwa tak terduga ini menjadi awal perjalanan Aida menuju penemuan jati diri.",Drama, ,7,2019
1987-01-01,Arini (Masih Ada Kereta yang Akan Lewat),"Arini ""disesatkan"" oleh seorang teman dekatnya, Ira, yang ingin menikahi suaminya, Helmi. Akhirnya ia mengetahui rencana ini, sehingga ia meminta cerai dan meninggalkan putranya, yang kemudian diketahui menderita gagal ginjal. Ia pergi ke AS di mana ia bertemu Nick, seorang mahasiswa yang ingin melarikan diri dari keluarganya yang konservatif dan bermasalah. Nick sangat mencintai Arini, tetapi Arini masih terlibat dalam banyak masalah yang berkaitan dengan mantan suaminya. Sutradara, Sophan Sophiaan, yang memiliki latar belakang keluarga aktivis politik, selalu menggunakan film-filmnya untuk mengkritik isu-isu sosial dan politik. Hanya saja kali ini, ia melakukannya dengan cara yang lebih halus.","Drama, Romance", ,8.7,1987
2020-12-03,Arwah Tumbal Nyai: Part Tumbal,"Dewi adalah seorang wanita yang kurang beruntung dalam percintaan, setiap pria yang dicintainya selalu meninggal karena hal-hal mistis. Dalam kesendiriannya, Dimas, pria yang pernah mencintainya, muncul. Namun kemudian Dimas juga meninggal karena dibunuh oleh makhluk gaib. Dewi menjadi sangat takut akan kematian pria yang dicintainya. Kemudian Ivan muncul, putra teman ibunya. Kemudian bersama Ivan, Dewi akhirnya mengetahui bahwa dia adalah korban yang harus dibunuh oleh makhluk gaib. Hingga akhirnya Dewi dan Ivan mengetahui bahwa makhluk gaib yang menginginkannya adalah seseorang dari masa lalunya.",Horror, ,7.4,2020
2020-12-03,Kemarin,"Film yang diangkat dari Tsunami Banten 2008 dan rekaman berdurasi 55 jam. Tentang persahabatan, perjuangan, perpisahan, dan kehilangan orang yang dicintai. Drama dokumenter tentang perjalanan, karier, dan musibah yang dialami Seventeen.",Documentary, ,7.8,2020
2023-03-30,Surga di Bawah Langit,"Tiga anak, Ayu, Agus, dan Laras, memiliki kesamaan—perjuangan dan kehidupan mereka di pinggiran masyarakat menyatukan mereka. Ayu menari agar bisa mendapatkan uang untuk membayar biaya sekolahnya, sementara Agus adalah seorang pencopet dan menjalankan profesinya di stadion. Mereka bermimpi meninggalkan kehidupan kemiskinan mereka, tetapi seiring berjalannya waktu, mereka telah terpisah. Kini, bertahun-tahun kemudian sebagai orang dewasa, mereka bertemu pada waktu yang telah mereka tetapkan bertahun-tahun sebelumnya—masing-masing ingin melihat apakah teman-teman mereka telah berhasil mengubah nasib mereka.","Drama, Music, Family",masa remaja,7.2,2023
2014-06-12,Mari Lari,"Rio Kusumo (Dimas Aditya) adalah seorang pemuda pesimis. Suatu hari, ia tiba-tiba ikut serta dalam lomba maraton dan bertemu dengan seorang gadis bernama Anisa (Olivia Jensen). Anisa mengajak Rio untuk berlari dan mereka harus menyelesaikan maraton di lereng Gunung Bromo.","Drama, Family", ,7.5,2014
2020-07-11,Filosofi Kopi: Aroma Gayo,"Rio Dewanto mengunjungi tempat asal Kopi Gayo. Ia melihat langsung kondisi lahan di Gayo, Aceh, dan mendalami filosofi secangkir Kopi Gayo.",Documentary, ,6.5,2020
2008-08-28,Tulalit,"Setelah mengamati perilaku aneh putranya, Meriam, seorang sosialita kaya dan egois, yakin bahwa putranya, Edric, adalah gay. Teman Edric, Ry, membujuknya untuk membingkai foto dari majalah dan berpura-pura memiliki pacar. Foto yang dipilihnya ternyata adalah Shareefa, seorang model yang sedang naik daun, dan Meriam berupaya menemukan gadis itu untuk mencari tahu apakah dia cocok. Sementara itu, Shareefa memiliki tiga pelamar lain—Daus, seorang penipu yang sudah menikah dengan seorang wanita kaya yang sangat gemuk, Kiwil, asisten penipu tersebut, dan seorang pengagum yang canggung secara sosial yang terus mencoba mencari cara untuk memberinya mawar.","Comedy, Romance", ,3.6,2008
2007-07-26,Bukan Bintang Biasa,"Kehidupan lima remaja ini tidak hanya dipenuhi dengan kuliah dan kegiatan ekstrakurikuler, tetapi juga kehidupan percintaan mereka. Meskipun cinta merupakan bagian besar dari kehidupan kelima remaja ini, mereka menyadari bahwa persahabatan adalah yang terpenting di atas segalanya.","Drama, Music", ,4.8,2007
2015-12-25,Natalan,"Setelah empat tahun tidak pulang ke Jogja, Resnu berjanji akan merayakan misa Malam Natal tahun ini bersama ibunya. Kecemasan dan kerinduan akan ibunya menghantui pikiran Resnu selama perjalanan bersama istrinya dari Jakarta.",, ,6.2,2015
2011-03-17,Dedemit Gunung Kidul,"Rodney, seorang pengusaha, memiliki dua putri, Vicky dan Jane. Ketika Rodney berhutang kepada bos Mafia, Mark, ia diminta untuk memberikan putrinya sebagai pengganti. Vicky tidak keberatan, karena ia menyukai Mark. Sebelum pernikahan mereka, Mark mengajak Vicky ke Gunung Kidul. Sebuah kecelakaan terjadi dan Vicky ditemukan tewas di gunung tersebut. Sebagai gantinya, Rodney memberikan Jane kepada Mark sebagai pengganti Vicky agar hubungan bisnis mereka berjalan lancar. Kemudian Jane mulai melihat kejadian aneh dan mengalami mimpi buruk. Ketika Jane pindah ke rumah mewah Mark, ia melihat beberapa hal yang ada dalam mimpinya, sebuah lampu kristal, sebuah lonceng perunggu di depan pintu menuju kolam renang, dan sebuah kursi ayunan. Waktu berlalu dan misteri mulai terungkap.",Horror, ,3.2,2011
2011-09-15,Masih Bukan Cinta Biasa,"Setelah hubungan saling menguntungkan antara Lintang dan Tommy serta putra mereka Nikita di seri pertama No Ordinary Love (2009) lalu, masalah kini muncul ketika Vino datang. Vino dikabarkan adalah putra Tommy dari salah satu mantan pacarnya, Voni. Lintang sebagai istri tidak tinggal diam dan merasa terkejut dengan kehadiran Vino. Belum lagi sikap Vino yang hampir 70% sama dengan Tommy, juga menjadi faktor penyebab keretakan kehidupan rumah tangga Tommy. Nikita sebagai anak dan adik perempuan tidak jelas dari mana kepastiannya terhadap Vino, semakin membingungkan dengan masalah yang dihadapi keluarganya.","Drama, Comedy, Family", ,7,2011
2012-09-27,Misteri Pasar Kaget,"Awalnya, seorang pengemudi becak mengalami kejadian aneh: ia menemukan uang yang berubah menjadi daun setelah mengantar seorang wanita muda hamil ke pasar. Kemudian Bethari dan putrinya, Putri Cemeti, muncul. Mereka berdua menjadi tak terlihat setelah melakukan bunuh diri. Kejadian ini membuat Mbah Rekso dan Kyai Sambu, dua tokoh dari sekte berbeda, menyerah dalam perlawanan.",Horror, ,5.6,2012
2012-03-08,Santet Kuntilanak,"Ini adalah kisah tentang dua saudara perempuan dengan kepribadian berbeda, Maya dan Lila. Lila adalah wanita lembut dengan keyakinan agama yang kuat, sementara Maya, kakak perempuannya, percaya pada mistik dan sihir, serta mempraktikkan ilmu hitam. Lila diperkosa oleh empat pria muda dan meninggal. Maya kemudian membalas dendam atas kematian saudara perempuannya melalui sihir terhadap keempat pria muda tersebut. Dan dimulailah ritual yang mengerikan: pengiriman ilmu sihir keji kepada Robert dan kroninya, yaitu ""Sihir Hitam Erotis"". Satu per satu mereka mati secara misterius akibat sihir Maya, dibantu oleh hantu Lila.",Horror, ,2.7,2012
2010-07-15,Pengantin Topeng,"Randy dan Alexa akan menikah. Untuk mengucapkan selamat tinggal pada hari-hari tanpa beban, mereka mengundang tiga sahabat terbaik mereka untuk berlibur ke pantai surga. Di tengah perjalanan, mobil mereka mogok dan jarak ke hotel sangat jauh. Di tempat terpencil ini tidak ada transportasi umum, telepon seluler tidak mendapatkan sinyal. Akhirnya, mereka tidak punya pilihan selain menginap di sebuah bungalow reyot di pantai. Menemukan mayat yang membusuk di rumah bukanlah cara yang baik untuk memulai malam itu - tetapi yang lebih buruk akan segera terjadi.","Thriller, Drama, Horror", ,7.3,2010
2010-03-25,The God Babe,"Riyo, seorang lulusan sekolah hukum, terkejut mendapati Flora (Ola) di sisinya saat ia bangun tidur. Ola bahkan lebih ketakutan dan mengira dirinya telah diculik dan diperkosa. Di kantornya, Riyo bertemu Fauzan, Robin, dan Fauzi, saudara laki-laki Ola. Riyo menyangkal telah tidur dengan Ola, tetapi mereka tetap memukulinya. Matt Jago (ayah Ola), seorang anggota Mafia Betawi, marah mendengar bahwa putrinya berhubungan seks dengan orang asing. Dia memaksa Riyo untuk menikahi Ola. Orang tua Riyo bingung ketika tiba-tiba diminta untuk melamar Ola. Mercy, pacarnya, sangat marah mendengar bahwa Riyo akan menikah dengan Ola. Dia menemui Ola dan menuduhnya sebagai wanita jalang. Ola tidak peduli karena dia bertekad untuk memiliki Riyo.",Comedy, ,5.1,2010
2010-02-11,Ngebut Kawin,"Ones bekerja sebagai sopir taksi di Jakarta. Namun penghasilannya yang pas-pasan tidak membuatnya patah semangat untuk merawat kakeknya yang sudah lanjut usia dan sangat ingin segera meninggal. Untuk membahagiakan kakeknya, ia membelikan kursi pijat otomatis meskipun harus meminjam uang dari bosnya, Rambo. Namun, tagihan tetap belum dibayar, sehingga bos Rambo mengancam akan mengambil taksinya. Ningsih, yang baru saja kembali dari Arab Saudi, menyewa taksinya untuk pulang ke kampung halamannya di Indramayu dengan menawarkan ongkos yang besar. Tergiur oleh jumlah uang yang besar, Ones langsung setuju. Tetapi ketika mereka berhenti untuk makan malam, Ones harus membayar karena Ningsih mengaku lupa menukar uang dolarnya. Kemudian mobilnya mogok sehingga Ones harus menggendong Ningsih sepanjang jalan pulang.","Drama, Comedy, Romance", ,6.2,2010
2010-12-09,"Cin... Tetangga Gue, Kuntilanak!","Saat Safina hamil, suaminya, Anton, berselingkuh dengan sekretarisnya, Yuli. Kemudian Yuli menggunakan ilmu hitam untuk memasukkan jarum ke dalam rahim Safina dan menyebabkan kematiannya. Namun bayinya selamat. Dengan bantuan seorang dukun, sebuah peniti emas dipaku ke kepala Safina agar rohnya tidak bangkit sebagai Kuntilanak untuk membalaskan dendam atas kematiannya. Kemudian Yuli mengendalikan Anton dan bayinya untuk mengambil alih kekayaannya. Afgan, Nadin, dan Nono adalah pembuat film independen yang mengumpulkan cerita horor untuk film mereka. Mantan pembantu Safina, yang merupakan tetangga Afgan, menceritakan kisah ini kepada mereka. Roh Safina dapat dipanggil ke rumahnya dalam wujud seorang wanita cantik sehingga para pemuda tergoda oleh ilusi rayuan romantis dari roh Safina. Kemudian Nadin bertemu Safina dalam wujud Kuntilanak. Nadin merasa kasihan dengan nasib Safina, jadi bersama dengan Afgan, Nono, dan mantan pembantu Safina, mereka mencoba membantu Safina membalaskan dendam atas kematiannya dan bersatu kembali dengan bayinya.",Horror, ,4.8,2010
2008-04-03,Kekasih,"Jiwo (Angga Dwisaputra), seorang pemuda desa, bertemu Maria (Vonny Kristianda), putri seorang bangsawan, ketika mereka masih duduk di bangku SMP. Namun Maria harus berpisah dari Jiwo karena dipaksa oleh orang tuanya. Beberapa tahun kemudian, mereka bertemu lagi dengan pertanyaan yang sama: akankah cinta mereka bertahan kali ini?","Drama, Romance", ,5,2008
2012-10-25,I Love You Masbro,"Keluarga Salman memiliki empat anak, semuanya laki-laki. Mereka adalah Bagus, si tampan yang pemalu terhadap perempuan; Alim si pembuat onar; Rizky yang kurang cerdas; dan Vina, si tampan yang terobsesi dengan gaya K-Pop. Kedua orang tua mereka meninggal dalam kecelakaan saat menjemput Alim dari penjara. Anak-anak Salman kemudian harus hidup mandiri.","Action, Drama, Comedy", ,4.8,2012
2011-03-24,Misteri Hantu Selular,Sekelompok pemuda diteror oleh hantu yang selalu mengejar ponsel mereka dan secara otomatis memainkan nada dering misterius.,Horror, ,6.6,2011
2010-10-21,Setan Facebook, ,Horror, ,4.3,2010
2019-10-24,Zharfa,"Zharfa ditinggalkan oleh ayah kandungnya sejak ia berusia satu tahun. Ibunya kemudian menikah lagi dengan seorang pria yang licik. Karena Zharfa selalu bertengkar dengan ayah tirinya, ia dikirim ke sekolah berasrama.",Drama, ,7.6,2019
2010-07-29,Nakalnya Anak Muda,Dua pasangan yang bercerai mencoba untuk mendamaikan cinta mereka tetapi tersandung pada kebiasaan keagamaan yang tidak dapat mereka langgar.,"Horror, Drama, Thriller", ,4.3,2010
2008-02-12,Kalau Cinta Jangan Cengeng, ,Drama, ,5.7,2008
2008-08-01,"Oh, My God!", ,"Comedy, Drama", ,4.2,2008
2008-08-28,Asoy Geboy,"Asep, Hilman, dan Didi adalah pemuda desa yang pergi ke Jakarta untuk kuliah. Kepergian mereka disambut gembira oleh seluruh desa yang menaruh harapan besar pada mereka untuk suatu hari nanti meningkatkan kesejahteraan desa. Di Jakarta, mereka tinggal di sebuah rumah besar milik paman Didi, yang bersebelahan dengan rumah kos penari telanjang. Salma, Lolyta, dan Memey adalah penari telanjang yang tinggal di rumah kos tersebut. Memey sedang hamil muda, di luar nikah, sehingga Salma dan Lolyta berniat menjebak seorang pria untuknya. Mereka kemudian menemukan Asep dan menuduhnya menghamili Memey. Sementara itu, Lolyta semakin dekat dengan Didi dan Hilman semakin dekat dengan Salma.","Comedy, Drama, Romance", ,3.2,2008
2008-08-08,Oh Baby,"Baby adalah seorang yatim piatu yang cantik dan energik yang bermimpi menjadi penari untuk membayar biaya pengobatan kakeknya. Diam-diam, Baby berhenti sekolah dan mengikuti kompetisi tari SMA, mengenakan topeng dan identitas baru, Phantom. Penampilannya yang luar biasa memukau penonton dan juri. Tetapi semua orang bertanya-tanya tentang identitas misterius Phantom. Penyelenggara kompetisi, Wizard, memberi tahu Baby bahwa dia hanya dapat berpartisipasi dalam Grand Final jika dia bersekolah di SMA Pekerti Luhur. Wizard akan membayar semua biaya. Pekerti Luhur adalah sekolah swasta elit yang dipimpin oleh kepala sekolah muda, tegas, dan disiplin, Bapak Yudo. Putranya, Benny, adalah kepala PHP (Pengawas Harmoni Pendidikan) yang bertugas memastikan tidak ada siswa yang melanggar aturan. Zarro, anak laki-laki paling keren di sekolah, yang juga peserta Grand Final kompetisi tari, sangat membenci Benny. Baby dan Zarro dengan cepat menjadi musuh, terutama ketika diketahui bahwa Baby adalah pesaingnya dalam kompetisi tari.","Drama, Romance", ,5.5,2008
2019-09-05,Suami yang Menangis,"Perjalanan hidup Ustad Arifin Ilham dari masa kecil hingga menjadi seorang ulama besar: dari digigit ular hingga koma selama berbulan-bulan. Dari situ juga menjadi titik awal untuk terus mendekatkan diri kepada Sang Pencipta. Kisah nyata ini dibandingkan dengan keluarga Dahlan, yang telah menjalani kehidupan yang sulit dan penuh pertobatan, kemudian dikaruniai rezeki yang melimpah oleh Allah SWT. Ketika ia menyakiti istrinya, hidupnya selalu penuh kebohongan, gelisah karena merasa bersalah kepada istrinya.",Drama, ,8.4,2019
2006-08-16,Betina,"Betina (Kinaryosih) adalah seorang gadis pemerah susu di tempat pemerahan susu milik Mamang Otig (Otig Pakis). Betina adalah gadis cantik dan bertubuh indah, tak heran jika para pria di desanya (Desa Antah Berantah) mengaguminya dan bahkan mencoba melakukan hal-hal yang tidak pantas untuknya. Gadis itu tinggal bersama ibunya (Tutie Kirana), yang menjadi agak gila setelah ayahnya (Zairin Zain) dibawa pergi dari rumahnya.",Drama, ,6.7,2006
2019-08-13,Kasiterit,"Natasha, sebuah mesin suara AI bertenaga surya, menelusuri silsilahnya dan kebenaran asal-usulnya. Investigasi ini membawa Natasha untuk bertemu dengan leluhurnya: timah anorganik yang diekstrak dari Pulau Bangka.",,film pendek,6.2,2019
2019-08-22,Ritual,"Peter, istrinya Jenny, putri mereka Lisa, dan kekasih Lisa, Michael, sedang bersiap untuk liburan akhir pekan yang panjang. Mereka berencana berkemah di daerah terpencil dan sepi di luar Jakarta. Dalam perjalanan, sebuah kecelakaan terjadi. Karena mereka berada di tengah hutan yang sepi dan hujan akan turun, mereka mencoba mencari tempat berlindung dan menemukan sebuah rumah tempat seorang anak yang tinggal di sana meninggal dan kemudian dihidupkan kembali melalui sebuah ritual.",Horror, ,4.9,2019
,Buya Hamka: Vol. II,"Tak lama setelah proklamasi kemerdekaan Indonesia, ancaman agresi kedua dari pasukan Sekutu muncul. Hamka memutuskan untuk berkeliling Medan untuk menyebarkan pentingnya persatuan antara masyarakat (tokoh agama) dan militer Indonesia, guna mencegah perpecahan di antara mereka. Namun, upaya ini menyebabkan Hamka tertembak. Untungnya, Hamka selamat dan sebagai hasil dari pengabdiannya, ia pindah ke Jakarta dan mendirikan Al-Azhar. Namun, Hamka dituduh secara salah terlibat dalam pemberontakan terhadap Soekarno. Ia ditangkap dan disiksa untuk menandatangani surat pengakuan. Hamka tetap teguh dan pengalamannya membawanya menulis buku yang paling berpengaruh dalam pendidikan Islam, Tafsir Al-Azhar.","Drama, History","berdasarkan kisah nyata, sekuel, pendeta, religius, berdasarkan orang nyata",6.8,
2010-10-28,Mafia insyaf,"Macan Polkadot, sebuah geng mafia, dipimpin oleh Dewi, dan ketiga putranya: Kendra, Romi, dan Jodi. Dewi merasa dirinya terlalu tua dan ingin Kendra mewarisi bisnis keluarga. Jadi dia meminta Kendra untuk mencari calon istri. Kemudian, Kendra bertemu Selma, seorang polisi yang sering bekerja menyamar. Hubungan antara Kendra dan Selma menjadi semakin bergairah. Tetapi mereka menyembunyikan identitas asli mereka satu sama lain. Kendra mengaku bekerja di sebuah yayasan sosial sementara Selma mengatakan bahwa dia adalah seorang pegawai negeri. Tetapi ketika Selma akhirnya mengakui bahwa dia adalah seorang polisi yang menyamar untuk mengungkap kasus penyelundupan, penggelapan pajak, dan geng mafia, Kendra terkejut. Selma juga terkejut mengetahui identitas asli Kendra. Namun, Kendra berjanji kepada Selma bahwa jika Selma menangkapnya melakukan kejahatan, Selma dapat menangkapnya sendiri.","Action, Comedy", ,5.1,2010
2019-09-26,"6,9 Detik","Diadaptasi dari kisah nyata Aries Susanti Rahayu, juara panjat tebing Asian Games 2018.",Drama, ,7.3,2019
2019-09-19,Martabak Bangka,"Setelah mewarisi restoran mendiang mentornya, seorang pembuat martabak melakukan perjalanan ke Pulau Bangka untuk mencari keluarga pria itu dan warisan yang ditinggalkannya.",Drama, ,7.4,2019
1983-02-23,Bergola Ijo,"Kelanjutan dari seri Jaka Sembung. Peristiwa ini terjadi di desa Gegesik dekat Cirebon, pada tahun 1827. Kepala desa, Subah, menghadapi dua musuh - Belanda dan Ki Dungu. Belanda menggunakan Ki Dungu untuk menghancurkan desa, karena ia memiliki dendam lama terhadap penduduk desa ditambah ia memiliki kemampuan Bergola Ijo yang ampuh. Namun Ningsih, istri Fajar, yang masing-masing adalah anak dan murid Subah, menghadapi Ki Dungu dengan seni bela diri mereka sendiri.","Action, Drama, Fantasy", ,7.5,1983
2008-01-18,Otomatis Romantis,Bambang (Tora Sudiro) bekerja sebagai pesuruh kantor dan Nadia (Marsha Timothy) sebagai editor di sebuah perusahaan majalah.,"Comedy, Comedy, Romance, Drama", ,6.3,2008
2014-01-02,Pendekar Kesepian,"Empat mahasiswa memutuskan untuk berkemah di gunung. Mereka berdiskusi tentang kopi, seks, Clint Eastwood, dan alien.","Science Fiction, Comedy, Drama", ,9.2,2014
1990-03-06,Jaka swara,"Jaka Swara menyaksikan pembantaian orang tuanya oleh geng John Da Costa, seorang Portugis yang masih menguasai daerah terpencil. Jaka Swara dengan susah payah mempelajari seni bela diri untuk membalas dendam. Ketika Fatma ditawan oleh Da Costa, hal itu mendorong Jaka untuk bertindak. Peran Rhoma Irama sebagai Jaka agak berbeda dari biasanya karena sifat film aksi ini. Ia menyanyikan lima lagu untuk adegan romantis.","Action, Music", ,6.9,1990
2013-03-14,Sule Detektif Tokek,Kisah ini bermula dari seekor cicak yang nilainya bisa mencapai jutaan rupiah. Sule dipekerjakan sebagai detektif yang menjaga cicak tersebut karena ada ancaman pencurian hewan itu. Pekerjaan Sule sebagai detektif kemudian mengancam nyawa anaknya.,Comedy, ,5.6,2013
2008-02-14,Love,"Love adalah film antologi romantis Indonesia tahun 2008 yang disutradarai oleh Kabir Bhatia sebagai remake dari film Cinta tahun 2006. Di Jakarta, lima pasangan dengan usia dan latar belakang yang berbeda mengalami berbagai tahapan cinta romantis, dari awal yang menggembirakan hingga akhir yang menyakitkan.","Drama, Romance", ,6.8,2008
1991-01-01,Nada dan Dakwah,"Penduduk desa Pandanwangi merasa kesal mendengar kabar bahwa tanah mereka akan diambil alih oleh sebuah konglomerat besar. Konflik atas tanah tersebut muncul dan meningkat antara penduduk desa dan perwakilan konglomerat. Penduduk desa mulai memandang situasi ini lebih sebagai masalah moralitas daripada kepemilikan tanah setelah mengetahui bahwa sebuah bar dan pusat biliar akan dibangun di sana. Kepala sekolah berasrama Islam desa, H. Murad, yang dibantu oleh H. Rhoma, berusaha mempengaruhi penduduk desa untuk menolak menjual tanah mereka. Akhirnya, pemimpin agama yang karismatik, KH Zainuddin MZ, berhasil menengahi konflik tersebut, dan bahkan mempengaruhi pemilik konglomerat, Bustomi (WD. Mochtar), untuk mempertimbangkan kembali rencananya. Tema konflik tanah dalam film ini menarik karena mencerminkan masalah sosial yang muncul akibat pesatnya perkembangan pada masa itu. Ini mungkin film terbaik Rhoma Irama, meskipun tidak terlalu populer.",Drama, ,6,1991
1990-10-19,Curi-curi Kesempatan, ,Comedy, ,5,1990
2020-02-06,Pemburu di Manchester Biru,"Untuk menghormati ayahnya, seorang lulusan perguruan tinggi yang rajin mengambil tujuan yang menantang, yaitu menjadi reporter untuk sebuah klub sepak bola Liga Utama Inggris.",Drama, ,5.9,2020
2013-07-11,Tak Sempurna,"Tiga sahabat karib, Dey (Derry Neo), Ba’on (G-voiz), dan Sabun (Dallas Pratama) tinggal di daerah terpencil di Jakarta yang tidak memiliki kepastian, keamanan, dan apalagi keharmonisan. Dey pemberani. Ba’on tidak bisa berbicara karena lidahnya dipotong. Sabun adalah pemuda yang saleh. Dey dan Ba’on menjual ganja yang diproduksi oleh Prof (Norman Akyuwen), sementara Sabun menjual DVD bajakan tanpa menyadari bahwa barang dagangannya ilegal. Suatu hari Ba’on membantu Mel (Tya Arifin) yang hampir dirampok. Kebetulan, sudah lama ia mengagumi Mel, seorang bintang televisi sekaligus model. Namun, pertemuan Mel dengan Ba’on dan teman-temannya menimbulkan konsekuensi serius karena perampok tersebut memiliki tujuan lain yang lebih berbahaya.","Action, Drama, Comedy", ,7.9,2013
2020-02-13,Kajeng Kliwon,Sebuah insiden pembunuhan mengancam nyawa Agni dan Nicho yang akan segera menikah. Kehadiran Wijaya juga semakin menguji cinta mereka.,Horror, ,5.6,2020
2004-12-09,Brownies,"Mel memiliki kehidupan yang sukses. Semuanya berubah ketika tunangannya, Joe, terlibat dengan wanita lain. Ia berubah drastis dan membuat semua temannya khawatir. Mereka memutuskan untuk memperkenalkan Mel kepada Are, pemilik toko buku dan pembuat kue brownies. Ketika Mel dan Are jatuh cinta, Joe muncul kembali dan mencoba merebut kembali cintanya kepada Mel.","Drama, Romance", ,6.2,2004
2020-02-27,Riki Rhino,"Riki, seekor badak Sumatera muda, kehilangan culanya karena dicuri oleh seorang pemburu. Riki memulai petualangan bersama Beni dan mendapatkan cula dengan kekuatan tersembunyi.","Animation, Adventure", ,5.6,2020
2013-10-31,3 Cewek Petualang,"Sally, Lyla, Citra, Jubed, dan Randu, lima sahabat SMA, merencanakan reuni. Sally, seorang calon pengantin, mengajak teman-temannya mengunjungi sebuah pulau di dekat Belitong. Ini adalah liburan terakhir Sally sebagai seorang lajang. Pulau tujuan mereka hanya dapat dijangkau dengan perahu motor yang dipesan oleh para pengunjung. Mereka mengalami berbagai kejadian menakutkan. Angin kencang menerpa dan tiba-tiba menghilang. Jejak kaki raksasa muncul, seolah-olah seekor binatang buas tak dikenal melewati mereka. Mereka juga menemukan reruntuhan istana.","Thriller, Adventure", ,5.6,2013
2012-06-21,Bangkit dari Kubur,"Mobil yang ditumpangi Marlon, Ranggo, dan Aril menabrak sepeda motor yang dikendarai pasangan suami istri. Mereka melarikan diri tetapi dihantui oleh Pocong dan Kuntilanak.","Comedy, Horror", ,5.7,2012
2010-09-08,"Lihat Boleh, Pegang Jangan","Pak Kimbul menghadapi persaingan dengan Ibu Umi, dua pemilik warung bakso. Mereka terus-menerus bersaing memperebutkan pelanggan. Tiba-tiba, sebuah warung bakso baru dibuka dengan interior yang bagus. Sekarang mereka harus bersiap untuk merebut kembali pelanggan mereka.","Comedy, Romance", ,2.8,2010
2013-12-19,Mengejar Setan,Andika dan Tarina memutuskan untuk tinggal di Bandung setelah kecelakaan yang hampir merenggut nyawa mereka. Andika membeli sebuah rumah tua yang cukup besar karena harganya murah. Pemilik rumah tersebut adalah hantu yang masih berkeliaran dan meneror.,Horror, ,6.4,2013
